[0.037s] Invoking command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh -- -j4 -l4
[0.096s] Invoked command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh' returned '0': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh -- -j4 -l4
[0.178s] Invoking command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh --target tests -- -j4 -l4
[0.246s] Built target tests
[0.259s] Invoked command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh' returned '0': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh --target tests -- -j4 -l4
[0.358s] Invoking command in '/home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh': /usr/bin/cmake --build /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/build/turtlebot3_description_reduced_mesh --target install -- -j4 -l4
[0.415s] [36mInstall the project...[0m
[0.424s] -- Install configuration: ""
[0.425s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/lib/pkgconfig/turtlebot3_description_reduced_mesh.pc
[0.425s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/cmake/turtlebot3_description_reduced_meshConfig.cmake
[0.425s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/cmake/turtlebot3_description_reduced_meshConfig-version.cmake
[0.426s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/package.xml
[0.426s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/launch
[0.426s] -- Up-to-date: /home/ubuntu/environment/aws-robomaker-sample-application-helloworld/simulation_ws/install/turtlebot3_description_reduced_mesh/share/turtlebot3_description_reduced_mesh/launch/spawn_turtlebot.launch
